movie_id,movie_title,release_year,director,actor
657,Idam Jagath,2018,Anil Srikantam,"sumanth, Anju Kurian, satya"
658,Pourudu,2008,Raj Aditya,"sumanth, kajal_aggarwal,brahmanandham, ali, Subbaraju, Nassar, kota_srinivasa_rao"
659,Madhumasam,2007,Chandra siddhartha,"sumanth, Sneha, Dharmavarapu Subrahmanyam"
660,Gowri,2004,B. V. Ramana,"sumanth, Charmy Kaur, sharwanand"
661,Ramma Chilakamma,2001,Tammareddy Bharadwaja,"sumanth, Laya,brahmanandham"
662,Daggaraga Dooranga,2011,Ravikumar Chavali,"sumanth, Vedhika,brahmanandham, raghu_babu, satyam_rajesh"
663,Emo Gurram Egaravachu,2014,Chandra siddhartha,"sumanth, Sawika Chaiyadech"
664,Kapatadhaari,2021,Pradeep krishnamoorthy,"sumanth, Nandita Swetha, vennela_kishore"
665,Donga Dongadi,2004,Subramaniam Siva,"manchu_manoj, Sadha, sunil, Rajiv Kanakala"
666,Prayanam,2009,Chandra Sekhar Yeleti,"manchu_manoj, Harika,brahmanandham"
667,Bindaas,2010,Veeru Potla,"manchu_manoj, Sheena Shahbadi, vennela_kishore, sunil,brahmanandham, ms_narayana, Jaya Prakash Reddy"
668,Vedam,2010,Krish Jagarlamudi,"manchu_manoj, anushka_shetty, Manoj Manchu, Deeksha Seth"
669,Potugadu,2013,Pavan Wadeyar,"manchu_manoj, Sakshi Chaudhary, Posani Krisna Murali, satyam_rajesh"
670,Current Theega,2014,G. Nageswara Reddy,"manchu_manoj, rakul_preeth_singh, jagapathi_babu, vennela_kishore, Sunny Leone, raghu_babu, Tanikella Bharani"
671,Shourya,2016,K. Dasaradh,"manchu_manoj, regina_cassandra,brahmanandham, prakash_raj"
672,Gunturodu,2017,S. K. satya,"manchu_manoj, Pragya Jaiswal, satya, kota_srinivasa_rao, rajendra_prasad"
673,Mr. Nookayya,2012,Ani Kanneganti,"manchu_manoj, Kriti Kharbanda,brahmanandham, vennela_kishore, sapthagiri"
674,Sri,2005,Dasarath,"manchu_manoj, tamannaah_bhatia, sunil,brahmanandham, satyam_rajesh, Jaya Prakash Reddy"
675,Jhummandi Naadam,2010,K. Raghavendra Rao,"manchu_manoj, Taapsee Pannu, mohan_babu,brahmanandham, ms_narayana, ali"
676,Oka 'V' Chitram,2006,Teja,"aadhi_pinisetty, Madhu Shalini, krishna Bhagavaan"
677,Gundello Godari,2013,Kumar Nagendra,"aadhi_pinisetty, Taapsee Pannu, Lakshmi Manchu, sundeep_kishan, Ravi Babu, Dhanraj"
678,Malupu,2015,Sathya prabhas Pinisetty,"aadhi_pinisetty, Nikki Galrani, Nassar"
679,Neevevaro,2018,Hari Nath,"aadhi_pinisetty, Taapsee Pannu, Ritika Singh, vennela_kishore, sapthagiri, Viva Harsha"
680,Clap,2022,Prithivi Adithya,"aadhi_pinisetty, Aakanksha Singh, Nassar, prakash_raj"
681,Sneha Geetham,2010,Madhura Sreedhar Reddy,"sundeep_kishan, Suhani Kalita,vennela_kishore"
682,Venkatadri Express,2013,Merlapaka Gandhi,"sundeep_kishan, rakul_preeth_singh, sapthagiri, ms_narayana, Prudhviraj, Thagubothu Ramesh, satya"
683,D for Dopidi,2013,Siraj Kalla,"sundeep_kishan, Melanie Kannokada, varun_sandesh, Naveen Polishetty, Tanikella Bharani"
684,Ra Ra... krishnayya,2014,mahesh_babu Pachigolla,"sundeep_kishan, regina_cassandra, jagapathi_babu, satyam_rajesh"
685,Beeruva,2015,Kanmani,"sundeep_kishan, Surbhi, Naresh, sapthagiri, shakalaka_shankar, Venu Yeldandi"
686,C/O Surya,2017,Suseenthiran,"sundeep_kishan, mehreen_pirzada, Vikranth, satya"
687,Manasuku Nachindi,2018,Manjula Ghattamaneni,"sundeep_kishan, Amyra Dastur, Tridha Choudhary, Priyadarshi"
688,A1 Express,2021,Dennis Jeevan Kanukolanu,"sundeep_kishan, lavanya_tripathi, satya, Priyadarshi, rahul_ramakrishna"
689,Michael,2023,Ranjit Jeyakodi,"sundeep_kishan, Divyansha Kaushik, Vijay Sethupathi, varun_sandesh"
690,Ooru Peru Bhairavakona,2024,Vi Anand,"sundeep_kishan, Varsha Bollamma, Kavya Thapar, vennela_kishore, Viva Harsha"
691,Gully Rowdy,2021,G. Nageswara Reddy,"sundeep_kishan, Neha Shetty, vennela_kishore, Viva Harsha, rajendra_prasad, shakalaka_shankar"
692,Tenali Ramakrishna BA. BL,2019,G. Nageswara Reddy,"sundeep_kishan, Hansika Motwani, vennela_kishore, sapthagiri, posani_krishna_murali"
693,Okka Ammayi Thappa,2016,Rajasimha Tadinada,"sundeep_kishan, nitya_menen, ali, Prudhviraj, Tanikella Bharani, sapthagiri"
694,Prematho Mee Karthik,2017,Rishi,"karthikeya_gummikonda, Simrat Kaur, Prudhviraj, Venu Yeldandi"
695,RX 100,2018,Ajay Bhupathi,"karthikeya_gummikonda, Payal Rajput, Rao Ramesh"
696,Hippi,2019,krishna,"karthikeya_gummikonda, Digangana Suryavanshi, vennela_kishore"
697,90ML,2019,Sekhar Reddy Yerra,"karthikeya_gummikonda, Neha Solanki, Rao Ramesh, ali"
698,Chaavu Kaburu Challaga,2021,Pegallapati Koushik,"karthikeya_gummikonda, lavanya_tripathi"
699,Bedurulanka 2012,2023,Clax,"karthikeya_gummikonda, Neha Shetty, vennela_kishore, satya, Getup Srinu"
700,Bhaje Vaayu Vegam,2024,Prashanth Reddy,"karthikeya_gummikonda, Iswarya Menon"
701,Raja Vikramarka,2021,Sri Saripalli,"karthikeya_gummikonda, Tanya Ravichandran"
702,Aravinda Sametha Veera Raghava,2018,Trivikram Srinivas,"jr_ntr, pooja_hegde, Eesha Rebba, jagapathi_babu, sunil"
703,RRR,2022,S. S. Rajamouli,"jr_ntr, ram_charan, alia Bhatt, Olivia Morris, Ajay Devgn"
704,Temper,2015,Puri Jagannadh,"jr_ntr, kajal_aggarwal, prakash_raj, posani_krishna_murali"
705,Janatha Garage,2016,Koratala Siva,"jr_ntr, Mohanlal, samantha_ruth_prabhu, nitya_menen"
706,Baadshah,2013,Sreenu Vaitla,"jr_ntr, kajal_aggarwal, Navdeep,brahmanandham"
707,Adhurs,2010,V. V. Vinayak,"jr_ntr, nayanthara, brahmanandham, ms_narayana, raghu_babu"
708,Brindavanam,2010,Vamshi Paidipally,"jr_ntr, kajal_aggarwal, samantha_ruth_prabhu_ruth_prabhu, prakash_raj,brahmanandham, venu_madhav"
709,Oosaravelli,2011,Surender Reddy,"jr_ntr, tamannaah_bhatia, prakash_raj, raghu_babu"
710,Shakti,2011,Meher Ramesh,"jr_ntr, Ileana D'Cruz, ali, krishna_bhagavan"
711,Rabhasa,2014,Santosh Srinivas,"jr_ntr, samantha_ruth_prabhu, Pranitha Subhash,brahmanandham"
712,Nannaku Prematho,2016,Sukumar,"jr_ntr, rakul_preeth_singh, rajendra_prasad, jagapathi_babu, Rajeev Kanakala"
713,Aadi,2001,V.V. Vinayak,"jr_ntr, Keerthi Chawla, Rajeev Kanakala, raghu_babu"
714,Simhadri,2003,S. S. Rajamouli,"jr_ntr, Ankita, Bhumika Chawla,brahmanandham, venu_madhav"
715,Yamadonga,2007,S. S. Rajamouli,"jr_ntr, Priyamani, ali, mohan_babu,brahmanandham"
716,Student No.1,2001,S. S. Rajamouli,"jr_ntr, shriya_saran, kota_srinivasa_rao, Rajeev Kanakala"
717,Ashta chamma,2008,Indraganti Mohan krishna,"nani, Swathi, Avasarala Srinivas, vasu_inturi, Jhanshi"
718,Ala Modalindhi,2011,B. V. Nandhini Reddy,"nani, nitya_menen, Sneha Ullal, Rohini "
719,Eega,2012,S. S. Rajamouli,"nani, samantha_ruth_prabhu, Kichcha Sudeep"
720,Bhale Bhale Magadivoy,2015,Maruthi,"nani, lavanya_tripathi, Praveen, vennela_kishore, Srinivasa rao, Murali Sharma"
721,krishna Gaadi Veera Prema Gaadha,2016,Hanu Raghavapudi,"nani, Mehareen, brahmaji, satyam_rajesh"
722,Gentleman,2016,Indraganti Mohan krishna,"nani, Urabhi, nivetha_thomas, Avasarala Srinivas, vennela_kishore, Tanikella Bharani"
723,Majnu,2016,Virinchi Varma,"nani, Anu Emmanual, satya, vennela_kishore, posani_krishna_murali"
724,Nenu Local,2017,Trinadh Rao Nakkina,"nani, keerthy_suresh, Naveen Chadra, Rao Ramesh, posani_krishna_murali"
725,MCA,2017,Sri Ram Venu,"nani, sai_pallavi, Bhoomika, Rajeev Kanakala, vennela_kishore, Priyadarshi"
726,krishnarjuna Yuddham,2018,Merlapaka Gandhi,"nani, anupama_parameswaran, brahmaji, Hari Teja"
727,Jersey,2019,Gowtam Tinnanuri,"nani, Shardah Srinath, Praveen, brahmaji, satyaraj"
728,"nani, Gang Leader",2019,Vikram K Kumar,"nani, priyanka_arul_mohan, Karthikeya, Lakshmi"
729,V,2020,Indraganti Mohan krishna,"nani, sudheer_babu, regina_cassandra, vennela_kishore"
730,Shyam Singa Roy,2021,Rahul Sankrithyan,"nani, Krity Setty, sai_pallavi, Rahul Ravindran, Abhinav Gomatham"
731,Ante Sundariniki,2022,Vivek Athreya,"nani, Nazriya Fahad, Naresh, Nadhiya, Harsha Vardhan"
732,Hi Nanna,2023,Shouryav,"nani, mrunal_takur, Jayaram, Kiara Khanna, Tanikella Bharani, Nasaar"
